account_id,customer_id,branch_id,account_type,balance,opened_date
312,313,13,SAVINGS,31906.44,2018-11-09
313,314,14,CHECKING,37804.7,2018-11-10
314,315,15,CREDIT,15867.65,2018-11-11
315,316,16,SAVINGS,117127.38,2018-11-12
316,317,17,CHECKING,132678.14,2018-11-13
317,318,18,CREDIT,61253.42,2018-11-14
318,319,19,SAVINGS,93288.9,2018-11-15
319,320,20,CHECKING,23605.72,2018-11-16
320,321,21,CREDIT,139517.21,2018-11-17
321,322,22,SAVINGS,129758.55,2018-11-18
322,323,23,CHECKING,146442.8,2018-11-19
323,324,24,CREDIT,121710.37,2018-11-20
324,325,25,SAVINGS,132271.72,2018-11-21
325,326,26,CHECKING,4205.56,2018-11-22
326,327,27,CREDIT,110616.39,2018-11-23
327,328,28,SAVINGS,50161.73,2018-11-24
328,329,29,CHECKING,139656.97,2018-11-25
329,330,30,CREDIT,120434.15,2018-11-26
330,331,31,SAVINGS,129677.57,2018-11-27
331,332,32,CHECKING,121707.02,2018-11-28
332,333,33,CREDIT,40387.45,2018-11-29
333,334,34,SAVINGS,118212.49,2018-11-30
334,335,35,CHECKING,16660.3,2018-12-01
335,336,36,CREDIT,130888.93,2018-12-02
336,337,37,SAVINGS,128859.69,2018-12-03
337,338,38,CHECKING,33753.84,2018-12-04
338,339,39,CREDIT,122579.7,2018-12-05
339,340,40,SAVINGS,69315.33,2018-12-06
340,341,41,CHECKING,46126.03,2018-12-07
341,342,42,CREDIT,119404.15,2018-12-08
342,343,43,SAVINGS,34525.53,2018-12-09
343,344,44,CHECKING,4037.83,2018-12-10
344,345,45,CREDIT,29372.9,2018-12-11
345,346,46,SAVINGS,49575.16,2018-12-12
346,347,47,CHECKING,129720.76,2018-12-13
347,348,48,CREDIT,145049.92,2018-12-14
348,349,49,SAVINGS,42229.19,2018-12-15
349,350,50,CHECKING,96401.52,2018-12-16
350,351,1,CREDIT,60251.92,2018-12-17
351,352,2,SAVINGS,147181.88,2018-12-18
352,353,3,CHECKING,80664.25,2018-12-19
353,354,4,CREDIT,140915.95,2018-12-20
354,355,5,SAVINGS,17743.59,2018-12-21
355,356,6,CHECKING,145574.89,2018-12-22
356,357,7,CREDIT,27195.89,2018-12-23
357,358,8,SAVINGS,144398.88,2018-12-24
358,359,9,CHECKING,40187.22,2018-12-25
359,360,10,CREDIT,16706.18,2018-12-26
360,361,11,SAVINGS,65467.28,2018-12-27
361,362,12,CHECKING,109417.49,2018-12-28
362,363,13,CREDIT,47394.76,2018-12-29
363,364,14,SAVINGS,91128.22,2018-12-30
364,365,15,CHECKING,76957.75,2018-12-31
365,366,16,CREDIT,58086.72,2019-01-01
366,367,17,SAVINGS,86699.91,2019-01-02
367,368,18,CHECKING,38581.01,2019-01-03
368,369,19,CREDIT,106463.4,2019-01-04
369,370,20,SAVINGS,752.85,2019-01-05
370,371,21,CHECKING,138873.49,2019-01-06
371,372,22,CREDIT,80998.57,2019-01-07
372,373,23,SAVINGS,108054.78,2019-01-08
373,374,24,CHECKING,111421.54,2019-01-09
374,375,25,CREDIT,100758.96,2019-01-10
375,376,26,SAVINGS,54951.11,2019-01-11
376,377,27,CHECKING,10961.08,2019-01-12
377,378,28,CREDIT,99803.53,2019-01-13
378,379,29,SAVINGS,49864.91,2019-01-14
379,380,30,CHECKING,47430.39,2019-01-15
380,381,31,CREDIT,127278.28,2019-01-16
381,382,32,SAVINGS,108103.26,2019-01-17
382,383,33,CHECKING,45398.18,2019-01-18
383,384,34,CREDIT,46738.06,2019-01-19
384,385,35,SAVINGS,61554.74,2019-01-20
385,386,36,CHECKING,60658.86,2019-01-21
386,387,37,CREDIT,44700.45,2019-01-22
387,388,38,SAVINGS,19529.53,2019-01-23
388,389,39,CHECKING,63356.73,2019-01-24
389,390,40,CREDIT,141084.37,2019-01-25
390,391,41,SAVINGS,101759.03,2019-01-26
391,392,42,CHECKING,135469.43,2019-01-27
392,393,43,CREDIT,92519.48,2019-01-28
393,394,44,SAVINGS,45492.01,2019-01-29
394,395,45,CHECKING,82416.61,2019-01-30
395,396,46,CREDIT,560.69,2019-01-31
396,397,47,SAVINGS,43393.6,2019-02-01
397,398,48,CHECKING,64768.28,2019-02-02
398,399,49,CREDIT,87207.72,2019-02-03
399,400,50,SAVINGS,98378.49,2019-02-04
400,401,1,CHECKING,70015.73,2019-02-05
401,402,2,CREDIT,66602.89,2019-02-06
402,403,3,SAVINGS,32448.36,2019-02-07
403,404,4,CHECKING,71241.33,2019-02-08
404,405,5,CREDIT,135226.53,2019-02-09
405,406,6,SAVINGS,119505.7,2019-02-10
406,407,7,CHECKING,25868.86,2019-02-11
407,408,8,CREDIT,13176.93,2019-02-12
408,409,9,SAVINGS,77560.08,2019-02-13
409,410,10,CHECKING,95124.66,2019-02-14
410,411,11,CREDIT,50610.64,2019-02-15
411,412,12,SAVINGS,122854.31,2019-02-16
412,413,13,CHECKING,112795.15,2019-02-17
413,414,14,CREDIT,101082.95,2019-02-18
414,415,15,SAVINGS,34083.78,2019-02-19
415,416,16,CHECKING,30269.92,2019-02-20
416,417,17,CREDIT,4151.6,2019-02-21
417,418,18,SAVINGS,37103.96,2019-02-22
418,419,19,CHECKING,71532.88,2019-02-23
419,420,20,CREDIT,127535.79,2019-02-24
420,421,21,SAVINGS,11387.82,2019-02-25
421,422,22,CHECKING,62458.93,2019-02-26
422,423,23,CREDIT,94649.92,2019-02-27
423,424,24,SAVINGS,29568.07,2019-02-28
424,425,25,CHECKING,104604.96,2019-03-01
425,426,26,CREDIT,74409.39,2019-03-02
426,427,27,SAVINGS,36975.67,2019-03-03
427,428,28,CHECKING,98580.67,2019-03-04
428,429,29,CREDIT,1328.95,2019-03-05
429,430,30,SAVINGS,112769.19,2019-03-06
430,431,31,CHECKING,115621.91,2019-03-07
431,432,32,CREDIT,16434.8,2019-03-08
432,433,33,SAVINGS,64059.36,2019-03-09
433,434,34,CHECKING,26795.06,2019-03-10
434,435,35,CREDIT,143715.92,2019-03-11
435,436,36,SAVINGS,77934.68,2019-03-12
436,437,37,CHECKING,8007.65,2019-03-13
437,438,38,CREDIT,37755.14,2019-03-14
438,439,39,SAVINGS,127326.28,2019-03-15
439,440,40,CHECKING,68741.04,2019-03-16
440,441,41,CREDIT,120311.78,2019-03-17
441,442,42,SAVINGS,100302.87,2019-03-18
442,443,43,CHECKING,148189.92,2019-03-19
443,444,44,CREDIT,89520.12,2019-03-20
444,445,45,SAVINGS,142530.92,2019-03-21
445,446,46,CHECKING,133768.18,2019-03-22
446,447,47,CREDIT,92091.52,2019-03-23
447,448,48,SAVINGS,108031.46,2019-03-24
448,449,49,CHECKING,75964.34,2019-03-25
449,450,50,CREDIT,124670.09,2019-03-26
450,451,1,SAVINGS,82406.86,2019-03-27
451,452,2,CHECKING,134632.61,2019-03-28
452,453,3,CREDIT,111676.49,2019-03-29
453,454,4,SAVINGS,71463.83,2019-03-30
454,455,5,CHECKING,39249.14,2019-03-31
455,456,6,CREDIT,37462.34,2019-04-01
456,457,7,SAVINGS,95830.38,2019-04-02
457,458,8,CHECKING,114989.15,2019-04-03
458,459,9,CREDIT,78434.32,2019-04-04
459,460,10,SAVINGS,94198.89,2019-04-05
460,461,11,CHECKING,41552.32,2019-04-06
461,462,12,CREDIT,12083.76,2019-04-07
462,463,13,SAVINGS,43216.36,2019-04-08
463,464,14,CHECKING,41121.41,2019-04-09
464,465,15,CREDIT,48296.58,2019-04-10
465,466,16,SAVINGS,81252.76,2019-04-11
466,467,17,CHECKING,21186.92,2019-04-12
467,468,18,CREDIT,35073.59,2019-04-13
468,469,19,SAVINGS,104245.5,2019-04-14
469,470,20,CHECKING,106109.66,2019-04-15
470,471,21,CREDIT,10102.21,2019-04-16
471,472,22,SAVINGS,61436.11,2019-04-17
472,473,23,CHECKING,81620.37,2019-04-18
473,474,24,CREDIT,62658.25,2019-04-19
474,475,25,SAVINGS,31421.74,2019-04-20
475,476,26,CHECKING,63311.46,2019-04-21
476,477,27,CREDIT,135773.35,2019-04-22
477,478,28,SAVINGS,87819.87,2019-04-23
478,479,29,CHECKING,104480.69,2019-04-24
479,480,30,CREDIT,128581.44,2019-04-25
480,481,31,SAVINGS,114956.39,2019-04-26
481,482,32,CHECKING,57366.96,2019-04-27
482,483,33,CREDIT,1381.46,2019-04-28
483,484,34,SAVINGS,53087.94,2019-04-29
484,485,35,CHECKING,113144.53,2019-04-30
485,486,36,CREDIT,128090.47,2019-05-01
486,487,37,SAVINGS,143037.84,2019-05-02
487,488,38,CHECKING,63143.68,2019-05-03
488,489,39,CREDIT,112253.59,2019-05-04
489,490,40,SAVINGS,82146.78,2019-05-05
490,491,41,CHECKING,90686.26,2019-05-06
491,492,42,CREDIT,33470.53,2019-05-07
492,493,43,SAVINGS,33303.53,2019-05-08
493,494,44,CHECKING,65657.48,2019-05-09
494,495,45,CREDIT,4839.21,2019-05-10
495,496,46,SAVINGS,50751.37,2019-05-11
496,497,47,CHECKING,102031.71,2019-05-12
497,498,48,CREDIT,60945.34,2019-05-13
498,499,49,SAVINGS,25174.19,2019-05-14
499,500,50,CHECKING,70374.83,2019-05-15
500,1,1,CREDIT,19580.36,2019-05-16
501,2,2,SAVINGS,93527.42,2019-05-17
502,3,3,CHECKING,4531.48,2019-05-18
503,4,4,CREDIT,59406.03,2019-05-19
504,5,5,SAVINGS,84876.6,2019-05-20
505,6,6,CHECKING,4551.76,2019-05-21
506,7,7,CREDIT,96591.07,2019-05-22
507,8,8,SAVINGS,20787.07,2019-05-23
508,9,9,CHECKING,69523.92,2019-05-24
509,10,10,CREDIT,8017.55,2019-05-25
510,11,11,SAVINGS,57176.03,2019-05-26
511,12,12,CHECKING,32143.21,2019-05-27
512,13,13,CREDIT,49363.45,2019-05-28
513,14,14,SAVINGS,114303.84,2019-05-29
514,15,15,CHECKING,57179.37,2019-05-30
515,16,16,CREDIT,112925.47,2019-05-31
516,17,17,SAVINGS,124872.68,2019-06-01
517,18,18,CHECKING,38214.59,2019-06-02
518,19,19,CREDIT,12744.98,2019-06-03
519,20,20,SAVINGS,3397.8,2019-06-04
520,21,21,CHECKING,81143.15,2019-06-05
521,22,22,CREDIT,149986.22,2019-06-06
522,23,23,SAVINGS,52819.07,2019-06-07
523,24,24,CHECKING,97696.54,2019-06-08
524,25,25,CREDIT,117294.34,2019-06-09
525,26,26,SAVINGS,97937.32,2019-06-10
526,27,27,CHECKING,113257.86,2019-06-11
527,28,28,CREDIT,142466.95,2019-06-12
528,29,29,SAVINGS,30304.42,2019-06-13
529,30,30,CHECKING,3546.81,2019-06-14
530,31,31,CREDIT,23281.16,2019-06-15
531,32,32,SAVINGS,19370.04,2019-06-16
532,33,33,CHECKING,100584.1,2019-06-17
533,34,34,CREDIT,84813.45,2019-06-18
534,35,35,SAVINGS,33085.7,2019-06-19
535,36,36,CHECKING,105070.01,2019-06-20
536,37,37,CREDIT,115151.27,2019-06-21
537,38,38,SAVINGS,25584.48,2019-06-22
538,39,39,CHECKING,91283.5,2019-06-23
539,40,40,CREDIT,112314.88,2019-06-24
540,41,41,SAVINGS,17622.66,2019-06-25
541,42,42,CHECKING,122985.53,2019-06-26
542,43,43,CREDIT,144725.76,2019-06-27
543,44,44,SAVINGS,16660.76,2019-06-28
544,45,45,CHECKING,4338.92,2019-06-29
545,46,46,CREDIT,47137.61,2019-06-30
546,47,47,SAVINGS,101763.42,2019-07-01
547,48,48,CHECKING,143746.84,2019-07-02
548,49,49,CREDIT,59799.84,2019-07-03
549,50,50,SAVINGS,107394.7,2019-07-04
550,51,1,CHECKING,11861.47,2019-07-05
551,52,2,CREDIT,103746.86,2019-07-06
552,53,3,SAVINGS,94272.74,2019-07-07
553,54,4,CHECKING,15734.25,2019-07-08
554,55,5,CREDIT,115985.89,2019-07-09
555,56,6,SAVINGS,127618.84,2019-07-10
556,57,7,CHECKING,90261.54,2019-07-11
557,58,8,CREDIT,18597.73,2019-07-12
558,59,9,SAVINGS,147584.73,2019-07-13
559,60,10,CHECKING,117503.98,2019-07-14
560,61,11,CREDIT,52406.96,2019-07-15
561,62,12,SAVINGS,64542.51,2019-07-16
562,63,13,CHECKING,55900.35,2019-07-17
563,64,14,CREDIT,76141.14,2019-07-18
564,65,15,SAVINGS,51514.06,2019-07-19
565,66,16,CHECKING,127511.56,2019-07-20
566,67,17,CREDIT,123438.47,2019-07-21
567,68,18,SAVINGS,16278.06,2019-07-22
568,69,19,CHECKING,144137.74,2019-07-23
569,70,20,CREDIT,95519.97,2019-07-24
570,71,21,SAVINGS,124391.74,2019-07-25
571,72,22,CHECKING,106242.64,2019-07-26
572,73,23,CREDIT,65605.33,2019-07-27
573,74,24,SAVINGS,110202.4,2019-07-28
